物料编码;零部件编号;零部件名称;图纸编号/图纸备注;材料/规格;单位;数量;采购类别;VENDOR;标准质保（类别）;海外标准质保要求;标准质保;海外协议签署情况;通则签署情况;供应商质保;标准质保差;质保需求;质保差;故障率;工时;成本价;售后成本;标准质保差;标准质保为1年的延保材料费;标准质保为1年的延保工时费;标准质保为2年的延保材料费;标准质保为2年的延保工时费;标准质保为5年的延保材料费;标准质保为5年的延保工时费;延保换件材料费;延保换件工时费;类别;备注;Vendor Description;P/N(供应商零部件编号);第二供应商信息;Second Vendor Description;SORT;Assembly Station(装配位置);Remark(备注);Remark English Description;New developed part(是否为新开发件);Technical state confirmation(技术状态确定);Section(科室);部门
13774105-00;K9UD-2916200B;左球销吊杆总成;;;;;;上海科曼车辆部件系统股份有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;底盘Chassis;;;;;;;
13774106-00;K9UD-2916200C;右球销吊杆总成;;;;;;上海科曼车辆部件系统股份有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;底盘Chassis;;;;;;;
13775242-00;B12E01-5308312C;司机侧包围挡板2;;;;;;郑州福耀玻璃有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
13775243-00;B12E01-5308313C;司机侧包围挡板3;;;;;;郑州福耀玻璃有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
13775337-00;B12E01-5308311C;司机侧包围挡板1;;;;;;郑州福耀玻璃有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
13782097-00;K9UD-2301111;左转向节;;;;;;采埃孚销售服务（中国）有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
13783469-00;B12E01-5402440C;右侧围蒙皮本体总成4;;;;;;江苏正威新材料股份有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;车身 Body;;;;;;;
13784428-00;K9UD-2302111;右转向节;;;;;;采埃孚传动技术(中国)有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
13784942-00;B15E01-8102300;B15E01-8102300_多功能电除霜器_M00000;;;;;;新南风加热制冷（沧州）有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
13787262-00;K9UD-2302110;右轮毂总成;;;;;;采埃孚销售服务（中国）有限公司;动力系统;;60months/500000KM;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
13787263-00;D9UB-2930010A;前空气弹簧总成;;;;;;EU ZF/ 采埃孚销售服务（中国）有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
13790042-00;BMK9UD-5302170B;前围蒙皮上部密封板;;;;;;鸡洲德兴塑料制品有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;车身 Body;;;;;;;
13790043-00;BMK9UD-5602150B;后围蒙皮上部密封板;;;;;;鸡洲德兴塑料制品有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;车身 Body;;;;;;;
13791435-00;B12E01-5206212B;右侧玻璃212;;;;;;江苏长江交通科技有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;车身 Body;;;;;;;
13791436-00;B12E01-5206216B;右侧玻璃216;;;;;;江苏长江交通科技有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;车身 Body;;;;;;;
13791437-00;B12E01-5206215B;左侧玻璃215;;;;;;江苏长江交通科技有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;车身 Body;;;;;;;
13791438-00;B12E01-5206222B;右侧玻璃222;;;;;;江苏长江交通科技有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;车身 Body;;;;;;;
13791439-00;B12E01-5206217B;左侧玻璃217;;;;;;江苏长江交通科技有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;车身 Body;;;;;;;
13791441-00;B12E01-5206225B;左侧玻璃225;;;;;;江苏长江交通科技有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;车身 Body;;;;;;;
13794308-00;B12E01-5206112B;前电子路牌玻璃;;;;;;江苏长江交通科技有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;车身 Body;;;;;;;
13796830-00;B12E01-2105700;组合式充电口总成;;;;;;第十四部长沙电动汽车研究所;;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
13797306-00;TKC-5920620B;右侧充电舱门底座总成;;;;;;江苏弗莱迪斯汽车系统有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;车身 Body;;;;;;;
13801460-00;B12E01-2152110B;电池通信转换器1;;;;;;惠州弗迪电池有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
13801468-00;B12E01-2152440B;电池管理控制器2C;;;;;;惠州弗迪电池有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
13801469-00;B12E01-2152430B;电池管理控制器2B;;;;;;惠州弗迪电池有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
13801470-00;B12E01-2152410B;电池管理控制器1;;;;;;惠州弗迪电池有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
13801471-00;B12E01-2152420B;电池管理控制器2A;;;;;;惠州弗迪电池有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
13801472-00;B12E01-2152160B;电池通信转换器6;;;;;;惠州弗迪电池有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
13801473-00;B12E01-2152140B;电池通信转换器4;;;;;;惠州弗迪电池有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
13801474-00;B12E01-2152120B;电池通信转换器2;;;;;;惠州弗迪电池有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
13801475-00;B12E01-2152130B;电池通信转换器3;;;;;;惠州弗迪电池有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
13801476-00;B12E01-2152150B;电池通信转换器5;;;;;;惠州弗迪电池有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
13804095-00;B12E01-5716510C;顶电池包外盖本体总成1;;;;;;河北昊能汽车配件科技有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;车身 Body;;;;;;;
13804096-00;B12E01-5716530C;顶电池包外盖本体总成2;;;;;;河北昊能汽车配件科技有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;车身 Body;;;;;;;
13813940-00;5109030034;驱动端联轴器;;;;;;耐力;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13813941-00;5109020003;空气端联轴器;;;;;;耐力;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13834719-00;B12E01-4002410B;后保险杠小线;;;;;;第十五事业部线束深圳工厂;;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
13835144-00;B12E01-5206132B;侧电子路牌玻璃;;;;;;江苏长江交通科技有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;车身 Body;;;;;;;
13836440-00;K9UD-2306118;润滑油嘴;;;;;;采埃孚销售服务（中国）有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13840173-00;B12E01-2804100B;左侧后保分块本体总成;;;;;;河北昊能汽车配件科技有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;车身 Body;;;;;;;
13840174-00;B12E01-2804200B;右侧后保分段本体总成;;;;;;河北昊能汽车配件科技有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;车身 Body;;;;;;;
13844204-00;K9UD-2916811;后横向稳定杆连接支架;;;;;;上海科曼车辆部件系统股份有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13850670-00;B3DE201082;玻璃钢底座;;;;;;上海加冷松芝汽车空调股份有限公司;易损易耗;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13850676-00;B9ZZ500053;蒸发风机;;;;;;上海加冷松芝汽车空调股份有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13850677-00;B9ZZ900023;视液镜;;;;;;上海加冷松芝汽车空调股份有限公司;BASIC;;24months/200000KM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13852717-00;BMK7M-5207116;洗涤水管;;;;1;;DOGA Italia SRL/道佳(南通)汽车零配件有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;车身 Body;;;;;;;
13856390-00;B12E01-5405116C;侧窗包柱116;;;;;;湖北凯威高分子材料有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
13856391-00;B12E01-5405115C;侧窗包柱115;;;;;;湖北凯威高分子材料有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
13856392-00;B12E01-5405117C;侧窗包柱117;;;;;;湖北凯威高分子材料有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
13856393-00;B12E01-5405122C;侧窗包柱122;;;;;;湖北凯威高分子材料有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
13856395-00;B12E01-5405123C;侧窗包柱123;;;;;;湖北凯威高分子材料有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
13856396-00;B12E01-5405124C;侧窗包柱124;;;;;;湖北凯威高分子材料有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
13856397-00;B12E01-5405125C;侧窗包柱125;;;;;;湖北凯威高分子材料有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
13856398-00;B12E01-5405126C;侧窗包柱126;;;;;;湖北凯威高分子材料有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
13856858-00;B12E01-5405112C;侧窗包柱112;;;;;;湖北凯威高分子材料有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
13856859-00;B12E01-5405113C;侧窗包柱113;;;;;;湖北凯威高分子材料有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
13856860-00;B12E01-5405213C;侧围装饰件213;;;;;;湖北凯威高分子材料有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
13856861-00;B12E01-5405212C;侧围装饰件212;;;;;;湖北凯威高分子材料有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
13856862-00;B12E01-5405512C;左前围装饰件2;;;;;;湖北凯威高分子材料有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
13857396-00;B12E01-4111520;后转向灯小线;;;;;;浙江群鑫车灯有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
13857397-00;B12E01-3919100C;多功能组合箱;;;;;;广州盛吉五金制品有限公司/丹阳市长江汽车部件有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
13862033-00;B12E01-3603100;驻车辅助系统;;;;;;Shlomo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
13862562-00;B12E01-3607060;对讲终端;;;;;;Shlomo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
13862563-00;B12E01-7910600A;功放;;;;;;Shlomo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
13862564-00;B12E01-7917020;智能监控调度系统;;;;;;Shlomo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
13863640-00;B12E01-2803200D;右侧前保分段本体总成;;;;;;河北昊能汽车配件科技有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;车身 Body;;;;;;;
13864633-00;B12E01-7901010;车载收音机;;;;;;Shlomo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
13864634-00;B12E01-7923020;客流统计系统摄像头;;;;;;Shlomo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
13865360-00;B12E01-2803100D;左侧前保分块本体总成;;;;;;河北昊能汽车配件科技有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;车身 Body;;;;;;;
13865915-00;B12E01-7917720;监控系统线束;;;;;;Shlomo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
13878141-00;BMK9UD-5712170R;顶装饰罩本体总成7;;;;;;鸡洲德兴塑料制品有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;车身 Body;;;;;;;
13881158-00;B12E01-3703110;蓄电池挂钩;;;;;;广州盛吉五金制品有限公司/丹阳长江汽车部件有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
13886756-00;BMK9UD-4020150A;驱动电机搭铁线束1;;;;;;第十五事业部线束深圳工厂;;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
13890710-00;B12E01-7917010E;监控系统;;;;;;Shlomo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
13895838-00;BYDQ839A04FP0.7;金属螺母;;;;30;;WÜRT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
13925646-00;K9UD-2307123;横拉杆横管;;;;;;采埃孚传动技术(嘉兴)有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
13925647-00;K9UD-2302127;K9UD-2302127_右转向梯形臂;;;;;;采埃孚销售服务（中国）有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
13925652-00;K9UD-3501130;K9UD-3501130_制动衬片总成;;;;;;采埃孚销售服务（中国）有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
13925656-00;D9UB-2302010;D9UB-2302010_右轮端总成;;;;;;采埃孚销售服务（中国）有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
13925661-00;D9UB-2301010;D9UB-2301010_左轮端总成;;;;;;采埃孚销售服务（中国）有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
13925761-00;K11U-5306200;K11U-5306200_主功能仪表板总成;;;;;;第十五事业部气囊深圳工厂;;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
13925807-00;K11U-5306800;K11U-5306800_组合开关罩总成;;;;;;第十五事业部气囊深圳工厂;;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
13929779-00;K11U-3774010D;组合开关;;;;;;EU CARMEN/ 弗迪科技深圳气囊工厂;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13931190-00;B0DK210336;冷凝风机安装板;;;;;;上海加冷松芝汽车空调股份有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
13933325-00;B0DT201011;主机底壳组件;;;;;;上海加冷松芝汽车空调股份有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器;;;;;;;
13940648-00;K7M-2305124;K7M-2305124_A臂垫板;;;;;;采埃孚销售服务（中国）有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
13967512-00;BMC9U-2305010;空气弹簧总成;;;;;;采埃孚销售服务（中国）有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13979161-00;BC12E03-3406100;转向高压油管总成;;;;;;河北三丰橡塑制品有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
14021877-00;Q215B0416T30FQP0.7;内六角花形盘头螺钉;;;;;;上海振高汽车科技有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器;;;;;;;
14035825-00;BMK9UD-5405128U;螺钉饰扣;;;;;;湖南博盛工业有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
14052122-00;B19E01-3926211B;三角警告牌支架;;;;;;丹阳市长江汽车部件有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
14068797-00;BC12E02-4001020;左电机线束;;;;;;惠州比亚迪电池有限公司_十六部_惠州制动器工厂;;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
14068798-00;BC12E02-4001030;右电机线束;;;;;;惠州比亚迪电池有限公司_十六部_惠州制动器工厂;;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
14082577-00;5101080057;支撑环N20A-04-07;;;;;;耐力股份有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘;;;;;;;
14082578-00;5103130023;放空阀套N20A-04-11-01;;;;;;耐力股份有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘;;;;;;;
14082579-00;5102010016;O型圈，12.42*1.78;;;;;;耐力股份有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘;;;;;;;
14082580-00;5102010010;O型圈，6.07*1.78;;;;;;耐力股份有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘;;;;;;;
14082581-00;5101080043;放空阀压垫N20A-04-03;;;;;;耐力股份有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘;;;;;;;
14082582-00;5101030014;空气压缩机维修螺钉;;;;;;耐力股份有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘;;;;;;;
14082583-00;5114020041;进气阀弹簧N20A-04-02-04;;;;;;耐力股份有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘;;;;;;;
14082584-00;5102010120;O型圈，28.17*3.53;;;;;;耐力股份有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘;;;;;;;
14082607-00;5101130002;空气压缩机圆柱销;;;;;;耐力股份有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘;;;;;;;
14082625-00;5103050018;滑片 N20A-02-02;;;;;;耐力股份有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘;;;;;;;
14082626-00;5102010037;O型圈，114.02*1.78;;;;;;耐力股份有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘;;;;;;;
14082627-00;5112030009;回油阀N20A-04-04;;;;;;耐力股份有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘;;;;;;;
14082628-00;5102080072;间隙垫片N20IIB-02-03-01;;;;;;耐力股份有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘;;;;;;;
14082630-00;5103100027;空滤盖;;;;;;耐力股份有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘;;;;;;;
14082631-00;5114010001;空气压缩机螺塞;;;;;;耐力股份有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘;;;;;;;
14082632-00;5114010007;空气压缩机连接件;;;;;;耐力股份有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘;;;;;;;
14089946-00;5102010003;O型圈，12*1;;;;;;耐力股份有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘;;;;;;;
14098087-00;K9UD-2906122;稳定杆支座连接件;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14099367-00;TKC-6206129AE;单轴铰链;;;;;;宁波丞展汽车零部件有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;车身 Body;;;;;;;
14099368-00;TKC-6206129AF;单轴铰链;;;;;;宁波丞展汽车零部件有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;车身 Body;;;;;;;
14111020-00;D9UB-2305010A;右前制动器及气室总成;;;;;;采埃孚传动技术(苏州)有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
14111022-00;D9UB-2306111;下A型臂总成;;;;;;采埃孚传动技术(嘉兴)有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
14111024-00;D9UB-2304010A;左前制动器及气室总成;;;;;;采埃孚销售服务（中国）有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
14113106-00;;六角螺母（M36*1.5）;;;;;;采埃孚传动技术(嘉兴)有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
14113107-00;;转向限位螺栓M16×1.5×30;;;;;;采埃孚传动技术(嘉兴)有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
14113108-00;K9UD-2303117;支承连接件;;;;;;采埃孚传动技术(苏州)有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
14113109-00;K7M-2307126;开口销4×36;;;;;;采埃孚传动技术(嘉兴)有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
14113110-00;K7M-2307125;K7M-2307125_球铰维修件1;;;;;;采埃孚传动技术(嘉兴)有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
14119190-00;BMK9UD-8402100U;前舱盖本体总成;;;;;;华缘新材料股份有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;车身 Body;;;;;;;
14120579-00;\;海绵;;;;20;;镇江长江汽车内饰件有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
14122894-00;TKC-5916961A;舱门限位带;;;;;;江苏弗莱迪斯汽车系统有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;车身 Body;;;;;;;
14122907-00;TKC-5916962C;舱门限位链;;;;1;;江苏弗莱迪斯汽车系统有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;车身 Body;;;;;;;
14125665-00;BMK9UD-7109453X;座椅侧挂型材1;;;;;;泰州市华发新型建材厂;;;;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
14125666-00;BMK9UD-7109454X;座椅侧挂型材2;;;;;;泰州市华发新型建材厂;;;;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
14125667-00;BMK9UD-7109455X;座椅侧挂型材3;;;;;;泰州市华发新型建材厂;;;;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
14125668-00;BMK9UD-7109456X;座椅侧挂型材4;;;;;;泰州市华发新型建材厂;;;;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
14126648-00;BMK9UD-3703010D;蓄电池总成;;;;;;VARTA Consumer Batteries GmbH & Co.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
14129125-00;K11U-8202513L;外后视镜前视镜;;;;;;Industrial Arcol, S.A.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14130278-00;Q5005040F6;开口销;;;;;;上海科曼车辆部件系统股份有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
14139350-00;B0CP205006;气液分离器;;;;;;Eberspacher Sutrak GmbH & Co. KG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器;;;;;;;
14139366-00;B9ZZ120893;卧式涡旋变频压缩机;;;;;;上海加冷松芝汽车空调股份有限公;;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
14141957-00;K9UD-2306124;K9UD-2306124_油封（70*80*6）;;;;;;采埃孚销售服务（中国）有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
14141968-00;D9UB 2307115;转向节;;;;;;采埃孚传动技术(嘉兴)有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
14141970-00;K9UE-5306531A;条形出风口;;;;;;无锡市宏宇汽车配件制造有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14141975-00;K9UD-2306128;主销间隙调整件;;;;;;采埃孚销售服务（中国）有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14142117-00;K7M-2303127;六角头螺母M36×1.5;;;;;;采埃孚传动技术(嘉兴)有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
14142118-00;K9UD-2306119;A形臂维修件119;;;;;;采埃孚销售服务（中国）有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
14142119-00;K9UD-2306121;A形臂维修件121;;;;;;采埃孚销售服务（中国）有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
14142120-00;K9UD-2306122;A形臂维修件122;;;;;;采埃孚销售服务（中国）有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
14142121-00;K9UD-2306125;A形臂维修件125;;;;;;采埃孚销售服务（中国）有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
14142122-00;K9UD-2906221A;开槽螺母;;;;;;上海科曼车辆部件系统股份有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
14155411-00;B9ZZ020100;电子膨胀阀;;;;;;上海加冷松芝汽车空调股份有限公;;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
14158154-00;TKC-4023110T;线束过孔胶套;;;;;;厦门市金汤橡塑有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;电器 Electric;;;;;;;
14158156-00;TKC-4023110X;线束过孔胶套;;;;;;厦门市金汤橡塑有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘;;;;;;;
14164181-00;TKC-4023110AV;线束过孔胶套;;;;;;厦门市金汤橡塑有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘;;;;;;;
14167753-00;205000049;推拉窗窗锁;;;;;;江苏长江交通科技有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;车身;;;;;;;
14178907-00;501.220.525;制动器密封套件;;;;;;采埃孚销售服务（中国）有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
14197881-00;Q2580840TF61KHP1.25;内六角花形沉头螺钉;;;;6;;上海上标集团紧固件有限公司,浙江云端汽车部件有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
14197906-00;Q2620625T20F62KHP1;十字槽盘头自攻锁紧螺钉;;;;;;上海上标集团紧固件有限公司,浙江云端汽车部件有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;底盘 Chassis;;;;;;;
14198042-00;BYDQ2630635T20F61KHP1;十字槽沉头自攻锁紧螺钉;;;;;;上海上标集团紧固件有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;饰件 Interior;;;;;;;
14198055-00;BYDQ2620645T20F62KHP1;十字槽盘头自攻锁紧螺钉;;;;;;上海上标集团紧固件有限公司;;;;;;;;;;;;;;;;;;;;;;;;;;;;;饰件;;;;;;;
